LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
19;socks;soks;s-s.o-o.ck-k.s-s;4;5;1;word_socks;1;CVCC;0
19;stuck;stVk;s-s.t-t.u-V.ck-k;4;5;1;word_stuck;1;CCVC;0
19;peck;pEk;p-p.e-E.ck-k;3;4;1;word_peck;1;CVC;0
19;trick;trIk;t-t.r-r.i-I.ck-k;4;5;1;word_trick;1;CCVC;0
19;tricks;trIks;t-t.r-r.i-I.ck-k.s-s;5;6;1;word_tricks;1;CCVCC;0
19;crack;krak;c-k.r-r.a-a.ck-k;4;5;1;word_crack;1;CCVC;0
20;win;wIn;w-w.i-I.n-n;3;3;1;word_win;1;CVC;0
20;west;wEst;w-w.e-E.s-s.t-t;4;4;1;word_west;1;CVCC;0
20;wept;wEpt;w-w.e-E.p-p.t-t;4;4;1;word_wept;1;CVCC;0
20;wish;wIS;w-w.i-I.sh-S;3;4;1;word_wish;1;CVC;0
20;well;wEl;w-w.e-E.l-l.l-l;4;4;1;word_well;-;CVC;0
20;will;wIL;w-w.i-I.l-l.l-l;4;4;1;word_will;-;CVC;0
20;wet;wEt;w-w.e-E.t-t;3;3;1;word_wet;1;CVC;0
20;went;went;w-w.e-E.n-n.t-t;4;4;1;word_went;-;CVCC;0
20;swift;swIft;s-s.w-w.i-I.f-f.t-t;5;5;1;word_swift;1;CCVCC;0
20;swim;swIm;s-s.w-w.i-I.m-m;4;4;1;word_swim;1;CCVC;0
21;fig;fIg;f-f.i-I.g-g;3;3;1;word_fig;1;CVC;0
21;bag;bag;b-b.a-a.g-g;3;3;1;word_bag;1;CVC;0
21;rag;rag;r-r.a-a.g-g;3;3;1;word_rag;1;CVC;0
21;leg;lEg;l-l.e-E.g-g;3;3;1;word_leg;1;CVC;0
21;dig;dIg;d-d.i-I.g-g;3;3;1;word_dig;1;CVC;0
21;rug;rVg;r-r.u-V.g-g;3;3;1;word_rug;1;CVC;0
21;fog;fog;f-f.o-o.g-g;3;3;1;word_fog;1;CVC;0
21;get;gEt;g-g.e-E.t-t;3;3;1;word_get;1;CVC;0
21;got;got;g-g.o-o.t-t;3;3;1;word_got;1;CVC;0
21;gut;gVt;g-g.u-V.t-t;3;3;1;word_gut;1;CVC;0
21;gum;gVm;g-g.u-V.m-m;3;3;1;word_gum;1;CVC;0
21;grab;grab;g-g.r-r.a-a.b-b;4;4;1;word_grab;1;CCVC;0
21;Gus;gVs;g-g.u-V.s-s;3;3;1;word_Gus;0;CVC;1
21;pig;pIg;p-p.i-I.g-g;3;3;1;word_pig;1;CVC;0
21;gift;gIft;g-g.i-I.f-f.t-t;4;4;1;word_gift;1;CVCC;0
21;glass;glas;g-g.l-l.a-a.s-s.s-s;5;5;1;word_glass;1;CCVC;0
21;dog;dog;d-d.o-o.g-g;3;3;1;word_dog;1;CVC;0
21;glops;glops;g-g.l-l.o-o.p-p.s-s;5;5;1;word_glops;1;CCVCC;0
21;gap;gap;g-g.a-a.p-p;3;3;1;word_gap;1;CVC;0
21;gas;gas;g-g.a-a.s-s;3;3;1;word_gas;1;CVC;0
21;gust;gVst;g-g.u-V.s-s.t-t;4;4;1;word_gust;1;CVCC;0
