LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
17;fleurir;;f-f.l-l.eu-9.r-R.i-i.r-R;;;;Word_fleurir;;;0
17;fleur;;f-f.l-l.eu-9.r-R;;;;Word_fleuve;;;0
17;fleuve;;f-f.l-l.eu-9.v-v.e-#;;;;Word_fleuve;;;0
17;frileux;;f-f.r-R.i-i.l-l.eu-2.x-#;;;;Word_frileux;;;0
17;fureur;;f-f.u-y.r-R.eu-9.r-R;;;;Word_fureur;;;0
17;furieux;;f-f.u-y.r-R.i-j.eu-2.x-#;;;;Word_furieux;;;0
17;leur;;l-l.eu-9.r-R;;;;Word_leur;;;0
17;seul;;s-s.eu-9.l-l;;;;Word_seul;;;0
17;savoureux;;s-s.a-a.v-v.ou-u.r-R.eu-2.x-#;;;;Word_savoureux;;;0
17;sérieux;;s-s.é-e.r-R.i-j.eu-2.x-#;;;;Word_ssym002rieux;;;0
17;sueur;;s-s.u-y.eu-9.r-R;;;;Word_sueur;;;0
17;valeur;;v-v.a-a.l-l.eu-9.r-R;;;;Word_valeur;;;0
17;voleur;;v-v.o-o.l-l.eu-9.r-R;;;;Word_voleur;;;0
17;jeu;;j-Z.eu-2;;;;Word_jeu;;;0
17;joueur;;j-Z.ou-u.eu-9.r-R;;;;Word_joueur;;;0
15;fort;;f-f.o-o.r-R.t-#;;;;-;;;0
15;fuit;;f-f.u-8.i-i.t-#;;;;-;;;0
14;Marjorie;;m-m.a-a.r-R.j-Z.o-o.r-R.i-i.e-#;;;;-;;;1
16;savoure;;s-s.a-a.v-v.ou-u.r-R.e-#;;;;-;;;0
17;fleuri;;f-f.l-l.eu-9.r-R.i-i;;;;-;;;0
11;Réa;;r-R.é-e.a-a;;;;-;;;1
17;amoureux;;a-a.m-m.ou-u.r-R.eu-2.x-#;;;;-;;;0
13;allume;;a-a.ll-l.u-y.m-m.e-#;;;;-;;;0
15;fume;;f-f.u-y.m-m.e-#;;;;-;;;0
17;mieux;;m-m.i-j.eu-2.x-#;;;;-;;;0
18;zéro;;z-z.é-e.r-R.o-o;;;;Word_zsym002ro;;;0
18;azur;;a-a.z-z.u-y.r-R;;;;Word_azur;;;0
18;zoo;;z-z.o-o.o-o;;;;Word_zoo;;;0
18;Zorro;;z-z.o-o.rr-R.o-o;;;;-;;;1
10;assomé;;a-a.ss-s.o-o.m-m.é-e;;;;-;;;0
18;Zoé;;z-z.o-o.é-e;;;;-;;;1
11;Mario;;m-m.a-a.r-R.i-i.o-o;;;;-;;;1
16;ouvre;;ou-u.v-v.r-R.e-#;;;;-;;;0
19;affiche;;a-a.ff-f.i-i.ch-S.e-#;;;;Word_affiche;;;0
19;arraché;;a-a.rr-R.a-a.ch-S.é-e;;;;Word_arrachsym002;;;0
19;achat;;a-a.ch-S.a-a.t-#;;;;Word_achat;;;0
19;arche;;a-a.r-R.ch-S.e-#;;;;Word_arche;;;0
19;échoué;;é-e.ch-S.ou-u.é-e;;;;Word_sym002chousym002;;;0
19;fiche;;f-f.i-i.ch-S.e-#;;;;Word_fiche ;;;0
19;fourche;;f-f.ou-u.r-R.ch-S.e-*;;;;Word_fourche;;;0
19;marche;;m-m.a-a.r-R.ch-S.e-*;;;;Word_marche;;;0
19;marché;;m-m.a-a.r-R.ch-S.é-e;;;;Word_marchsym002;;;0
19;miche;;m-m.i-i.ch-S.e-#;;;;Word_miche ;;;0
19;mouche;;m-m.ou-u.ch-S.e-#;;;;Word_mouche;;;0
19;réfléchir;;r-R.é-e.f-f.l-l.é-e.ch-S.i-i.r-R;;;;Word_rsym002rlsym002chir;;;0
19;riche;;r-R.i-i.ch-S.e-#;;;;Word_riche ;;;0
19;roche;;r-R.o-o.ch-S.e-#;;;;Word_roche;;;0
19;ruche;;r-R.u-y.ch-S.e-#;;;;Word_ruche ;;;0
19;cheveux;;ch-S.e-*.v-v.eu-2.x-#;;;;Word_cheveux;;;0
19;cheval;;ch-S.e-*.v-v.a-a.l-l;;;;Word_cheval;;;0
19;chaleur;;ch-S.a-a.l-l.eu-9.r-R;;;;Word_chaleur ;;;0
19;chariot;;ch-S.a-a.r-R.i-j.o-o.t-#;;;;Word_chariot ;;;0
19;chasseur;;ch-S.a-a.ss-s.eu-9.r-R;;;;Word_chasseur;;;0
19;chassé;;ch-S.a-a.ss-s.é-e;;;;Word_chasssym002;;;0
19;char;;ch-S.a-a.r-R;;;;Word_char;;;0
19;charme;;ch-S.a-a.r-R.m-m.e-#;;;;Word_charme;;;0
19;chasse;;ch-S.a-a.ss-s.e-#;;;;Word_chasse;;;0
19;chiffre;;ch-S.i-i.ff-f.r-R.e-#;;;;Word_chiffre;;;0
19;chou;;ch-S.ou-u;;;;Word_chou;;;0
19;Charlie;;ch-S.a-a.r-R.l-l.i-i.e-#;;;;-;;;1
19;vache;;v-v.a-a.ch-S.e-#;;;;Word_vache;;;0
19;chat;;ch-S.a-a.t-#;;;;-;;;0
16;vole;;v-v.o-o.l-l.e-#;;;;-;;;0
20;Sofiane;;s-s.o-o.f-f.i-i.a-a.n-n.e-#;;;;-;;;1
20;énorme;;é-e.n-n.o-o.r-R.m-m.e-#;;;;Word_sym002norme;;;0
20;finale;;f-f.i-i.n-n.a-a.l-l.e-#;;;;Word_finale ;;;0
20;fine;;f-f.i-i.n-n.e-#;;;;Word_fine;;;0
20;lumineux;;l-l.u-y.m-m.i-i.n-n.eu-2.x-#;;;;Word_lumineux;;;0
20;neuf;;n-n.eu-9.f-f;;;;Word_neuf;;;0
20;neuve;;n-n.eu-9.v-v.e-#;;;;Word_neuve;;;0
20;normale;;n-n.o-o.r-R.m-m.a-a.l-l.e-#;;;;Word_normale;;;0
20;nu;;n-n.u-y;;;;Word_nu;;;0
20;nul;;n-n.u-y.l-l;;;;Word_nul;;;0
20;jeune;;j-Z.eu-9.n-n.e-#;;;;Word_jeune;;;0
20;ne;;n-n.e-*;;;;Word_neveu;;;0
20;ni;;n-n.i-i;;;;Word_ni;;;0
20;nos;;n-n.o-o.s-#;;;;Word_nos;;;0
20;une;;u-y.n-n.e-#;;;;Word_une;;;0
20;ananas;;a-a.n-n.a-a.n-n.a-a.s-#;;;;Word_ananas;;;0
20;année;;a-a.nn-n.é-e.e-#;;;;Word_annsym002e;;;0
20;animal;;a-a.n-n.i-i.m-m.a-a.l-l;;;;Word_animal;;;0
20;avenir;;a-a.v-v.e-#.n-n.i-i.r-R;;;;Word_avenir;;;0
20;avenue;;a-a.v-v.e-#.n-n.u-y.e-#;;;;Word_avenue;;;0
20;farine;;f-f.a-a.r-R.i-i.n-n.e-#;;;;Word_farine;;;0
20;lune;;l-l.u-y.n-n.e-#;;;;Word_lune;;;0
20;menu;;m-m.e-*.n-n.u-y;;;;Word_menu;;;0
20;marine;;m-m.a-a.r-R.i-i.n-n.e-#;;;;Word_marine;;;0
20;machine;;m-m.a-a.ch-S.i-i.n-n.e-#;;;;Word_machine;;;0
20;minuit;;m-m.i-i.n-n.u-8.i-i.t-#;;;;Word_minuit;;;0
20;neveu;;n-n.e-*.v-v.eu-2;;;;Word_neveu;;;0
20;nuit;;n-n.u-8.i-i.t-#;;;;Word_nuit;;;0
20;navire;;n-n.a-a.v-v.i-i.r-R.e-#;;;;Word_navire ;;;0
20;niche;;n-n.i-i.ch-S.e-#;;;;Word_niche ;;;0
20;numéro;;n-n.u-y.m-m.é-e.r-R.o-o;;;;Word_numsym002ro;;;0
20;ramoneur;;r-R.a-a.m-m.o-o.n-n.eu-9.r-R;;;;Word_ramoneur ;;;0
20;cheminée;;ch-S.e-*.m-m.i-i.n-n.é-e.e-#;;;;Word_cheminsym002e;;;0
20;savane;;s-s.a-a.v-v.a-a.n-n.e-#;;;;Word_savanne;;;0
20;sonnerie;;s-s.o-o.nn-n.e-#.r-R.i-i.e-#;;;;Word_sonnerie;;;0
20;souvenir;;s-s.ou-u.v-v.e-#.n-n.i-i.r-R;;;;Word_souvenir ;;;0
20;uniforme;;u-y.n-n.i-i.f-f.o-o.r-R.m-m.e-#;;;;Word_uniforme;;;0
